id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
14,Quem é o jogador mais jovem de sempre a vencer o prémio de MVP da temporada regular da NBA?,LeBron James,Derrick Rose,Michael Jordan,Luka Doncic,Derrick Rose
15,Que lendário base do Philadelphia 76ers ficou famoso pela sua jogada de crossover e a alcunha 'The Answer'?,Allen Iverson,Steve Nash,Gary Payton,Chris Paul,Allen Iverson
16,Qual jogador marcou 81 pontos num único jogo contra os Toronto Raptors em 2006?,Michael Jordan,LeBron James,Kobe Bryant,Tracy McGrady,Kobe Bryant
17,Em que ano foi fundada a National Basketball Association (NBA)?,1936,1946,1956,1966,1946
18,Quem foi o primeiro jogador na história da NBA a ser eleito MVP por unanimidade?,Michael Jordan,LeBron James,Stephen Curry,Shaquille O'Neal,Stephen Curry
19,"Que equipa Michael Jordan defendeu nas suas duas últimas temporadas na NBA, após o seu segundo retorno?",Chicago Bulls,Miami Heat,Washington Wizards,Charlotte Hornets,Washington Wizards
20,Quem é o único jogador da história da NBA a conseguir uma média de triplo-duplo em quatro temporadas diferentes?,Magic Johnson,Oscar Robertson,Russell Westbrook,LeBron James,Russell Westbrook
21,Qual lendário jogador e treinador é a silhueta representada no logótipo oficial da NBA?,Jerry West,Michael Jordan,Bill Russell,Wilt Chamberlain,Jerry West
22,Que jogador dos Miami Heat foi apelidado de 'Flash' e venceu três campeonatos pela franquia?,LeBron James,Dwyane Wade,Chris Bosh,Ray Allen,Dwyane Wade
23,"Quem foi o MVP das Finais da NBA de 2011, liderando os Dallas Mavericks ao título contra o Miami Heat?",Dirk Nowitzki,Jason Kidd,Jason Terry,Luka Doncic,Dirk Nowitzki
24,Qual jogador é o líder histórico da NBA em desarmes de lançamento (abafos/tocos)?,Shaquille O'Neal,Hakeem Olajuwon,Mutombo,Kareem Abdul-Jabbar,Hakeem Olajuwon
25,Que equipa selecionou LeBron James como a primeira escolha absoluta no Draft da NBA de 2003?,Miami Heat,Cleveland Cavaliers,Los Angeles Lakers,New York Knicks,Cleveland Cavaliers
26,Quantas vezes a lenda Larry Bird venceu o prémio de MVP de forma consecutiva nos anos 80?,2 vezes,3 vezes,4 vezes,Nunca venceu,3 vezes
27,Quem foi o parceiro dinâmico (dupla) de Michael Jordan nos seis títulos do Chicago Bulls?,Dennis Rodman,Scottie Pippen,Steve Kerr,Horace Grant,Scottie Pippen
28,Qual o nome do famoso treinador que venceu 11 anéis da NBA comandando os Bulls e os Lakers?,Pat Riley,Gregg Popovich,Phil Jackson,Red Auerbach,Phil Jackson
29,Quem detém o recorde de mais triplos-duplos na história da temporada regular da NBA?,Magic Johnson,Russell Westbrook,Oscar Robertson,Nikola Jokic,Russell Westbrook
30,"Por qual equipa Tim Duncan jogou durante toda a sua carreira de 19 anos na NBA, vencendo 5 títulos?",Dallas Mavericks,Houston Rockets,San Antonio Spurs,Miami Heat,San Antonio Spurs
31,Quem foi o líder do famoso 'Bad Boys' dos Detroit Pistons no final dos anos 80?,Dennis Rodman,Isiah Thomas,Bill Laimbeer,Joe Dumars,Isiah Thomas
32,Qual jogador croata fez história nos Chicago Bulls dos anos 90 como um dos melhores sextos homens da liga?,Toni Kukoc,Drazen Petrovic,Vlade Divac,Peja Stojakovic,Toni Kukoc
33,Que jogador detém o recorde de maior número de ressaltos (rebotes) na história da NBA?,Bill Russell,Wilt Chamberlain,Kareem Abdul-Jabbar,Dennis Rodman,Wilt Chamberlain
34,"Quem foi o MVP das Finais da NBA em 1969, sendo o único jogador na história a ganhar o prémio mesmo perdendo a série final?",Jerry West,Bill Russell,Wilt Chamberlain,Elgin Baylor,Jerry West
35,Em que ano Kobe Bryant e os Lakers venceram o histórico jogo 7 contra os Celtics para conquistar o seu 5º anel?,2008,2009,2010,2011,2010
36,"Qual jogador francês, lenda dos San Antonio Spurs, venceu 4 campeonatos e foi MVP das Finais em 2007?",Boris Diaw,Tony Parker,Rudy Gobert,Nicolas Batum,Tony Parker
37,Quem foi conhecido como 'The Round Mound of Rebound' e tornou-se um analista famoso na TV americana?,Shaquille O'Neal,Charles Barkley,Karl Malone,Patrick Ewing,Charles Barkley
38,Qual extremo-poste do Utah Jazz é o terceiro maior pontuador da história da NBA e formou dupla icónica com John Stockton?,Karl Malone,Charles Barkley,Kevin McHale,Scottie Pippen,Karl Malone
39,Quem foi o herói e MVP das Finais que deu o primeiro título da história aos Toronto Raptors em 2019?,Kyle Lowry,Pascal Siakam,Kawhi Leonard,DeMar DeRozan,Kawhi Leonard
40,Qual jogador marcou um cesto de três pontos milagroso no Jogo 6 das Finais de 2013 para salvar o Miami Heat da eliminação?,LeBron James,Dwyane Wade,Ray Allen,Chris Bosh,Ray Allen
41,"De que país é natural o poste multimunicipal Nikola Jokic, estrela dos Denver Nuggets?",Croácia,Slovénia,Sérvia,Grécia,Sérvia
42,Qual jogador é conhecido como 'The Greek Freak' e liderou os Milwaukee Bucks ao título em 2021?,Luka Doncic,Giannis Antetokounmpo,Nikola Jokic,Kristaps Porzingis,Giannis Antetokounmpo
43,Quantos campeonatos da NBA venceu Stephen Curry ao serviço dos Golden State Warriors?,2,3,4,5,4
44,Qual prodígio esloveno foi draftado em 2018 e tornou-se a grande superestrela dos Dallas Mavericks?,Goran Dragic,Luka Doncic,Nikola Jovic,Bogdan Bogdanovic,Luka Doncic
45,Que extremo-comprido venceu dois campeonatos seguidos com os Golden State Warriors (2017-2018) sendo MVP das duas finais?,Kevin Durant,Klay Thompson,Draymond Green,Andre Iguodala,Kevin Durant
46,"Qual jogador francês com mais de 2,20m de altura chocou a NBA ao ser draftado como nº1 em 2023 pelos Spurs?",Rudy Gobert,Victor Wembanyama,Alexandre Sarr,Evan Fournier,Victor Wembanyama
47,Qual base explosivo dos Memphis Grizzlies é famoso pelos seus afundanços acrobáticos e estilo atlético?,Ja Morant,De'Aaron Fox,Trae Young,LaMelo Ball,Ja Morant
48,Que equipa detém o recorde de melhor campanha da temporada regular da história da NBA com 73 vitórias e 9 derrotas?,Chicago Bulls (1995-96),Golden State Warriors (2015-16),Los Angeles Lakers (1971-72),Boston Celtics (1985-86),Golden State Warriors (2015-16)
49,Quem foi o parceiro de triplos ('Splash Brothers') de Stephen Curry nos anos de glória dos Warriors?,Draymond Green,Klay Thompson,Kevin Durant,Jordan Poole,Klay Thompson
50,Qual extremo superestrela liderou os Boston Celtics ao campeonato de 2024 ao lado de Jaylen Brown?,Jayson Tatum,Kyrie Irving,Luka Doncic,Jimmy Butler,Jayson Tatum
51,Que base habilidoso ajudou LeBron James a vencer o título em Cleveland (2016) e hoje brilha nos Dallas Mavericks?,Kyrie Irving,Russell Westbrook,James Harden,Damian Lillard,Kyrie Irving
52,Qual jogador é conhecido pela alcunha 'The Beard' (A Barba) e foi MVP pelo Houston Rockets?,James Harden,Damian Lillard,Chris Paul,Kawhi Leonard,James Harden
53,"Que base é famoso pela expressão 'Dame Time' e pelos seus lançamentos decisivos do meio da rua, jogando agora em Milwaukee?",Damian Lillard,Donovan Mitchell,Devin Booker,Cj McCollum,Damian Lillard
54,Qual extremo-poste dos Los Angeles Lakers faz uma dupla temível com LeBron James e venceu o título na 'Bolha' em 2020?,Anthony Davis,Russell Westbrook,Dwight Howard,Kyle Kuzma,Anthony Davis
55,Quem é o treinador principal do Golden State Warriors que comandou a dinastia de quatro títulos da equipa?,Steve Kerr,Tyronn Lue,Erik Spoelstra,Nick Nurse,Steve Kerr
56,Qual jogador camaronês naturalizado americano foi eleito MVP da temporada regular de 2022-23 pelo Philadelphia 76ers?,Joel Embiid,Pascal Siakam,Ben Simmons,Jimmy Butler,Joel Embiid
57,Que ala-armador estrela liderou o Phoenix Suns às Finais de 2021 ao lado de Chris Paul?,Devin Booker,Deandre Ayton,Mikal Bridges,Bradley Beal,Devin Booker
58,Qual jogador liderou os Miami Heat a duas finais improváveis da NBA (2020 e 2023) com o seu estilo aguerrido?,Bam Adebayo,Jimmy Butler,Tyler Herro,Kyle Lowry,Jimmy Butler
59,"De que país é natural o base Shai Gilgeous-Alexander, estrela dos Oklahoma City Thunder?",Estados Unidos,Canadá,Austrália,França,Canadá
60,"Quem é o atual treinador com mais vitórias na história da NBA, comandante eterno do San Antonio Spurs?",Phil Jackson,Pat Riley,Gregg Popovich,Doc Rivers,Gregg Popovich
61,Qual jogador canadiano venceu o prémio de MVP da NBA de forma consecutiva em 2005 e 2006 pelo Phoenix Suns?,Steve Nash,Dirk Nowitzki,Andrew Wiggins,Shai Gilgeous-Alexander,Steve Nash
62,Que jogador dos Minnesota Timberwolves é amplamente comparado a Michael Jordan pelo seu estilo atlético e liderança?,Karl-Anthony Towns,Anthony Edwards,Rudy Gobert,D'Angelo Russell,Anthony Edwards
63,Qual poste defensivo francês já venceu o prémio de Defensor do Ano (DPOY) por 4 vezes na NBA?,Victor Wembanyama,Joakim Noah,Rudy Gobert,Ben Wallace,Rudy Gobert
64,Quem quebrou o recorde de mais pontos marcados num único quarto na história da NBA (37 pontos em 2015)?,Stephen Curry,Klay Thompson,Kevin Durant,Kobe Bryant,Klay Thompson
65,"Quem foi o MVP das Finais da NBA de 2023, ano em que os Denver Nuggets venceram o seu primeiro título?",Jamal Murray,Nikola Jokic,Aaron Gordon,Jimmy Butler,Nikola Jokic
66,"Qual extremo foi escolhido como a escolha número 1 do Draft de 2019 pelos New Orleans Pelicans, cercado de grande espetáculo?",Zion Williamson,Ja Morant,RJ Barrett,Tyler Herro,Zion Williamson
67,Que base veterano ganhou a alcunha de 'The Point God' devido à sua maestria na organização de jogo?,Steve Nash,Chris Paul,Rajon Rondo,Kyrie Irving,Chris Paul
68,Qual ala-armador dos Sacramento Kings ganhou fama pela sua velocidade incrível de costa a costa no campo?,De'Aaron Fox,Malik Monk,Domantas Sabonis,Tyrese Haliburton,De'Aaron Fox
69,De que lenda do basquetebol lituano é filho o atual jogador Domantas Sabonis?,Arvydas Sabonis,Sarunas Marciulionis,Jonas Valanciunas,Linas Kleiza,Arvydas Sabonis
70,Qual base do Indiana Pacers tornou-se o líder em assistências da liga com um estilo de jogo ultra-rápido?,Tyrese Haliburton,Buddy Hield,Bennedict Mathurin,Myles Turner,Tyrese Haliburton
71,Que extremo dos LA Clippers é conhecido pela sua alcunha 'PG13'?,Paul George,Kawhi Leonard,James Harden,Russell Westbrook,Paul George
72,"Quem é o técnico principal de longa data do Miami Heat, que assumiu o cargo após Pat Riley?",Erik Spoelstra,Brad Stevens,Frank Vogel,Rick Carlisle,Erik Spoelstra
73,Qual jogador dos New York Knicks tornou-se o herói de Manhattan ao liderar a equipa com exibições de mais de 40 pontos nos playoffs?,Julius Randle,Jalen Brunson,RJ Barrett,Josh Hart,Jalen Brunson
74,Quantos MVP da temporada regular já conquistou o poste Nikola Jokic até ao final da época de 2024?,1,2,3,4,3
75,Quem foi o vencedor do prémio de Estreante do Ano (Rookie of the Year) na NBA em 2024?,Chet Holmgren,Victor Wembanyama,Brandon Miller,Jaime Jaquez Jr,Victor Wembanyama
76,Quantos pontos vale um cesto convertido de um lançamento efetuado fora do arco delimitado?,1 ponto,2 pontos,3 pontos,4 pontos,3 pontos
77,Qual é o tempo regulamentar de posse de bola (relógio de ataque) que uma equipa tem para lançar na NBA e na FIBA?,14 segundos,24 segundos,30 segundos,35 segundos,24  segundos
77,Qual é o tempo regulamentar de posse de bola (relógio de ataque) que uma equipa tem para lançar na NBA e na FIBA?,14 segundos,24 segundos,30 segundos,35 segundos,24 segundos
78,Quantos jogadores de cada equipa podem estar dentro de campo ao mesmo tempo numa partida oficial?,4,5,6,7,5
79,Qual a duração de cada período (quarto) num jogo oficial sob as regras da FIBA?,10 minutos,12 minutos,15 minutos,8 minutos,10 minutos
80,Qual a duração de cada período (quarto) num jogo oficial da NBA?,10 minutos,12 minutos,15 minutos,9 minutos,12 minutes
80,Qual a duração de cada período (quarto) num jogo oficial da NBA?,10 minutos,12 minutos,15 minutos,9 minutos,12 minutos
81,Quantas faltas pessoais pode cometer um jogador num jogo FIBA antes de ser desqualificado (expulso)?,4 faltas,5 faltas,6 faltas,7 faltas,5 faltas
82,Quantas faltas pessoais pode cometer um jogador num jogo da NBA antes de ser excluído por faltas?,5 faltas,6 faltas,7 faltas,4 faltas,6 faltas
83,Quantos pontos vale cada lance livre convertido após uma falta?,1 ponto,2 pontos,3 pontos,0 pontos,1 ponto
84,Como se chama a infração cometida quando um jogador caminha ou corre com a bola nas mãos sem a driblar?,Drible duplo,Passos (Andar),Falta técnica,Zona,Passos (Andar)
85,"O que acontece se um jogador driblar a bola, pará-la segurando-a com as duas mãos, e voltar a driblar?",É falta pessoal,É considerada a infração de drible duplo (dois dribles),O jogo segue normalmente,É falta técnica,É considerada a infração de drible duplo (dois dribles)
86,"Após sofrer um cesto ou iniciar o período, quantos segundos tem uma equipa para passar a bola da sua meia-pista defensiva para a pista ofensiva?",5 segundos,8 segundos,10 segundos,12 segundos,8 segundos
87,Como se chama a violação em que um jogador atacante permanece mais de um tempo específico consecutivo dentro da área restritiva (garrafão)?,Regra dos 3 segundos,Regra dos 5 segundos,Regra dos 8 segundos,Falta ofensiva,Regra dos 3 segundos
88,A que altura padrão do solo está fixado o aro do cesto de basquetebol em competições oficiais?,"2,90 metros","3,05 metros","3,15 metros","3,00 metros","3,05 metros"
89,O que acontece se uma partida de basquetebol terminar empatada no final do tempo regulamentar?,Termina em empate,Ocorre um prolongamento de 5 minutos,Ocorre um prolongamento de 10 minutos,Decide-se em lances livres alternados,Ocorre um prolongamento de 5 minutos
90,Qual infração é marcada quando um jogador toca na bola ou no cesto quando a bola está a descer em direção ao aro no plano descendente?,Airball,Goaltending (Interferência),Desarme limpo,Fora,Goaltending (Interferência)
91,"Como se chama a falta sem contacto físico penalizada por comportamento antidesportivo, reclamações ou atraso de jogo?",Falta Flagrante,Falta Técnica,Falta Pessoal,Falta Ofensiva,Falta Técnica
92,"Se um jogador receber duas faltas técnicas no mesmo jogo, qual é a consequência?",A equipa perde pontos,O jogador é expulso do jogo,O adversário ganha 5 lances livres,"Nada, pode continuar a jogar",O jogador é expulso do jogo
93,O que acontece quando uma equipa atinge o limite de faltas coletivas num período (bónus)?,A equipa perde a posse de bola,Qualquer falta defensiva subsequente dá direito a dois lances livres ao adversário,O jogo é interrompido,O treinador é expulso,Qualquer falta defensiva subsequente dá direito a dois lances livres ao adversário
94,Qual a punição na NBA para uma falta classificada como 'Flagrante 2'?,Apenas um lance livre,Exclusão automática imediata do jogador do jogo,Aviso verbal,Dois lances livres mas o jogador continua,Exclusão automática imediata do jogador do jogo
95,Qual é o diâmetro oficial aproximado de um aro de basquetebol regulamentar?,45 cm,50 cm,40 cm,55 cm,45 cm
96,"É permitido a um jogador defensor dar um passe para trás, cruzando a linha do meio-campo, quando já está na pista de ataque?","Sim, a qualquer momento","Não, isso constitui uma violação de retorno à pista defensiva",Apenas se for com as duas mãos,Apenas nos últimos 2 minutos,"Não, isso constitui uma violação de retorno à pista defensiva"
97,Como é feito o início de uma partida oficial de basquetebol para disputar a primeira posse de bola?,Lançamento de uma moeda,Bola ao ar (salto entre dois) no círculo central,A equipa visitante começa com a bola,Sorteio prévio,Bola ao ar (salto entre dois) no círculo central
98,Quantos segundos tem um jogador para efetuar o lançamento de um lance livre após o árbitro lhe entregar a bola?,5 segundos,10 segundos,15 segundos,24 segundos,10 segundos
99,"Na reposição de bola em jogo pela linha lateral ou final, quantos segundos tem o atleta para passar a bola?",3 segundos,5 segundos,8 segundos,10 segundos,5 segundos
100,Quem inventou o desporto do basquetebol em dezembro de 1891?,James Naismith,Abner Doubleday,Walter Camp,William G. Morgan,James Naismith
101,Em qual estado norte-americano foi inventado o basquetebol?,Nova Iorque,Massachusetts,California,Illinois,Massachusetts
102,Que objetos foram usados originalmente como cestos na primeira partida de basquetebol da história?,Cestas de pêssegos,Caixas de madeira,Baldes de metal,Redes de pesca,Cestas de pêssegos
103,Quantas substituições uma equipa pode fazer durante uma partida de basquetebol?,Apenas 5,Até 10,"Ilimitadas, desde que o jogo esteja interrompido",Não são permitidas substituições,"Ilimitadas, desde que o jogo esteja interrompido"
104,A linha de três pontos da FIBA fica a que distância padrão do centro do cesto?,"6,25 metros","6,75 metros","7,24 metros","7,00 metros","6,75 metros"
105,Qual a distância da linha de três pontos na NBA (no topo do arco)?,"6,75 metros","7,05 metros","7,24 metros","7,50 metros","7,24 metros"
106,"Como se chama a jogada em que um atacante salta, recebe a bola no ar e afunda (enterra) antes de tocar o solo?",Layup,Alley-oop,Floater,Fadeaway,Alley-oop
107,O que significa o termo 'Airball'?,Um lançamento espetacular de muito longe,"Um lançamento que não toca em nada (nem no aro, nem na tabela, nem na rede)",Um passe longo pelo alto,O bloqueio perfeito de um lançamento,"Um lançamento que não toca em nada (nem no aro, nem na tabela, nem na rede)"
108,O que é um 'Fadeaway jump shot'?,"Um lançamento feito enquanto o jogador salta para trás, afastando-se do defensor",Um afundanço de costas,Um passe sem olhar,Um drible por entre as pernas,"Um lançamento feito enquanto o jogador salta para trás, afastando-se do defensor"
109,Qual o nome dado à tabela de posições teórica dos jogadores onde o número 1 é o Base e o número 5 é o...,Extremo,Poste (Pivô),Ala-Armador,Segundo Base,Poste (Pivô)
110,"Na numeração de posições do basquetebol, qual posição corresponde ao número 3?",Base (Point Guard),Extremo (Small Forward),Poste (Center),Ala-Armador (Shooting Guard),Extremo (Small Forward)
111,Qual a infração marcada se um jogador segurar ou empurrar intencionalmente um adversário sem bola?,Falta pessoal,Passos,Falta técnica,Bloqueio ilegal,Falta pessoal
112,"Se um jogador lança de 3 pontos, sofre falta no ato, o cesto entra. Quantos lances livres ele bate?",1 lance livre,2 lances livres,3 lances livres,Nenhum,1 lance livre
113,E se o mesmo jogador sofrer a falta no ato do lançamento de 3 pontos mas o cesto NÃO entrar?,1 lance livre,2 lances livres,3 lances livres,Apenas reposição lateral,3 lances livres
114,O que significa 'Screen' ou 'Pick' no basquetebol?,Um drible rápido,Um bloqueio legal feito com o corpo para libertar um colega de equipa,Uma rouba de bola,O aquecimento antes do jogo,Um bloqueio legal feito com o corpo para libertar um colega de equipa
115,Qual a penalidade para uma falta ofensiva (cometida pelo jogador que tem a posse de bola)?,Dois lances livres para o adversário,Perda da posse de bola (turnover) e contagem de falta pessoal,Expulsão do jogador,Repetição da jogada,Perda da posse de bola (turnover) e contagem de falta pessoal
116,"Qual o pavilhão lendário localizado em Nova Iorque, casa dos New York Knicks?",Crypto.com Arena,Madison Square Garden,United Center,TD Garden,Madison Square Garden
117,Em qual cidade joga a franquia conhecida como 'Golden State Warriors'?,Los Angeles,San Francisco,Sacramento,Seattle,San Francisco
118,Como se chama o pavilhão dos Boston Celtics conhecido pelo seu piso de madeira em parquet tradicional?,TD Garden,Barclays Center,Wells Fargo Center,Target Center,TD Garden
119,Que equipa da NBA jogava em Seattle como 'SuperSonics' antes de se mudar e mudar o nome em 2008?,Oklahoma City Thunder,Portland Trail Blazers,Utah Jazz,Denver Nuggets,Oklahoma City Thunder
120,Qual franquia da NBA tem o famoso boneco 'Benny the Bull' como sua mascote oficial?,Houston Rockets,Miami Heat,Chicago Bulls,Dallas Mavericks,Chicago Bulls
121,Em qual cidade norte-americana está sediada a franquia dos 'Bucks'?,Detroit,Cleveland,Milwaukee,Minneapolis,Milwaukee
122,"Como se chama a equipa da NBA sediada em Toronto, no Canadá?",Grizzlies,Raptors,Timberwolves,Blue Jays,Raptors
123,Qual o nome da arena onde os Los Angeles Lakers e os Los Angeles Clippers partilharam jogos durante anos (antigo Staples Center)?,Crypto.com Arena,Kia Forum,Intuit Dome,Honda Center,Crypto.com Arena
124,Que equipa mudou-se de Nova Jérsia para Brooklyn em 2012?,Knicks,Nets,76ers,Celtics,Nets
125,Qual franquia escolheu Michael Jordan na posição número 3 do Draft de 1984?,Portland Trail Blazers,Houston Rockets,Chicago Bulls,Philadelphia 76ers,Chicago Bulls
126,Quem foi a primeira escolha absoluta do Draft de 1992 escolhido pelo Orlando Magic e tornando-se uma força dominante?,Alonzo Mourning,Shaquille O'Neal,Christian Laettner,Latrell Sprewell,Shaquille O'Neal
127,Qual equipa da NBA pertence ao famoso ator e realizador Spike Lee como o seu adepto mais fervoroso na linha lateral?,Los Angeles Lakers,New York Knicks,Brooklyn Nets,Chicago Bulls,New York Knicks
128,Em qual estado norte-americano ficam as equipas dos Orlando Magic e Miami Heat?,Texas,Califórnia,Flórida,Nova Iorque,Flórida
129,Qual o nome da equipa de Houston famosa pelo título de campeã de 1994 e 1995 comandada por Hakeem Olajuwon?,Spurs,Rockets,Mavericks,Thunder,Rockets
130,Que equipa da Divisão do Pacífico tem as cores roxo e dourado como sua identidade clássica?,Phoenix Suns,Sacramento Kings,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers
131,Qual equipa da Flórida tem um logotipo que consiste numa bola de basquetebol a passar por um aro em chamas?,Orlando Magic,Miami Heat,Tampa Bay Terrapins,Jacksonville Giants,Miami Heat
132,Em que cidade joga a equipa dos Memphis Grizzlies?,Memphis,Nashville,Charlotte,Atlanta,Memphis
133,Qual o nome da equipa da Carolina do Norte da qual Michael Jordan foi proprietário maioritário durante anos?,Charlotte Bobcats / Hornets,Atlanta Hawks,Indiana Pacers,Washington Wizards,Charlotte Bobcats / Hornets
134,Que franquia tem o nome inspirado na famosa corrida do ouro de 1849 na Califórnia?,Denver Nuggets,Golden State Warriors,Sacramento Kings,Los Angeles Lakers,Golden State Warriors
135,Qual equipa da NBA foi fundada em Minneapolis e manteve o seu nome relacionado a lagos mesmo após mudar-se para a Califórnia?,Los Angeles Lakers,Sacramento Kings,Phoenix Suns,Utah Jazz,Los Angeles Lakers
136,Que equipa tem um duende irlandês (Leprechaun) chamado Lucky como símbolo?,Boston Celtics,New York Knicks,Chicago Bulls,Milwaukee Bucks,Boston Celtics
137,Em que cidade joga a equipa dos 'Suns' na NBA?,Las Vegas,Phoenix,Salt Lake City,Dallas,Phoenix
138,"Qual o nome da equipa de Utah que originalmente foi fundada em Nova Orleães, herdando o nome do estilo musical da cidade?",Utah Blues,Utah Jazz,Utah Rock,Utah Symphony,Utah Jazz
139,Que equipa selecionou Yao Ming com a escolha número 1 do Draft de 2002?,Houston Rockets,Los Angeles Lakers,Golden State Warriors,Sacramento Kings,Houston Rockets
140,Qual franquia da Pensilvânia é carinhosamente chamada de 'Philly'?,Pittsburgh Pioneers,Philadelphia 76ers,Erie BayHawks,Pennsylvania Pipers,Philadelphia 76ers
141,O que significa a sigla Draft na NBA?,O torneio de pré-temporada,O processo anual de seleção de novos jogadores universitários e internacionais pelas equipas,O teto salarial da liga,O mercado de transferências livres,O processo anual de seleção de novos jogadores universitários e internacionais pelas equipas
142,Em qual conferência e divisão jogam os Cleveland Cavaliers?,Conferência Oeste / Divisão Noroeste,Conferência Este / Divisão Central,Conferência Este / Divisão Atlântico,Conferência Oeste / Divisão Pacífico,Conferência Este / Divisão Central
143,Qual a mascote dos Cleveland Cavaliers que faz acrobacias com espadas de espuma?,Sir CC / Moondog,Benny,Hugo,Crunch,Sir CC / Moondog
144,Que franquia do Texas tem um cavalo negro no seu logotipo oficial?,San Antonio Spurs,Houston Rockets,Dallas Mavericks,Austin Toros,Dallas Mavericks
145,Qual pavilhão acolhe os jogos do Chicago Bulls e tem uma estátua famosa de Michael Jordan na entrada?,United Center,Allstate Arena,Fiserv Forum,Gainbridge Fieldhouse,United Center
146,Em que cidade norte-americana jogam os Portland Trail Blazers?,Seattle,Portland,Vancouver,Boise,Portland
147,Qual é a única equipa da NBA que não está localizada nos Estados Unidos?,Detroit Pistons,Toronto Raptors,Minnesota Timberwolves,Vancouver Canucks,Toronto Raptors
148,"Que equipa escolheu Nikola Jokic na escolha número 41 do Draft, sendo considerada um dos maiores roubos da história?",Denver Nuggets,Miami Heat,San Antonio Spurs,Dallas Mavericks,Denver Nuggets
149,Qual o nome da nova e ultra-tecnológica arena dos Los Angeles Clippers inaugurada em 2024?,Intuit Dome,Crypto.com Arena,Kia Forum,The Wall Arena,Intuit Dome
150,Em qual cidade joga a equipa dos Atlanta Hawks?,Savannah,Atlanta,Charlotte,Miami,Atlanta
151,"Qual o nome da equipa da capital dos EUA, Washington D.C.?",Washington Senators,Washington Capitals,Washington Wizards,Washington Nationals,Washington Wizards
152,Que franquia do Oeste tem uma nota musical dourada no seu uniforme clássico de retro?,Denver Nuggets,Utah Jazz,Sacramento Kings,Minnesota Timberwolves,Utah Jazz
153,Em qual estado norte-americano fica a cidade e a equipa dos Detroit Pistons?,Ohio,Illinois,Michigan,Indiana,Michigan
154,Qual a mascote dos Phoenix Suns famosa pelas suas palhaçadas e afundanços com trampolim?,The Gorilla,The Sun Dog,Rocky,Clutch,The Gorilla
155,"Que equipa de basquetebol divide a cidade de Nova Iorque com os Knicks, jogando em Brooklyn?",Brooklyn Nets,Long Island Riptide,New York Liberty,Manhattan Metros,Brooklyn Nets
156,Como ficou conhecida a lendária seleção dos EUA que encantou o mundo nos Jogos Olímpicos de Barcelona em 1992?,The Redeem Team,The Dream Team,The Gold Squad,The Champions,The Dream Team
157,Qual lendário jogador brasileiro é o maior marcador da história dos Jogos Olímpicos com 1093 pontos?,Wlamir Marques,Bira,Oscar Schmidt,Marcelinho Machado,Oscar Schmidt
158,Que país europeu surpreendeu e venceu o Campeonato do Mundo da FIBA de 2023 derrotando a Sérvia na final?,Espanha,Alemanha,França,Lituânia,Alemanha
159,Quantas medalhas de ouro olímpicas consecutivas a seleção masculina dos EUA conquistou de 2008 a 2024?,3,4,5,6,5
