id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
25,Qual construtor britânico ficou famoso historicamente pelas suas viaturas pretas e douradas patrocinadas pela John Player Special?,Lotus,Tyrrell,Brabham,BRM,Lotus
26,Quem foi o companheiro de equipa brasileiro de Michael Schumacher na era de ouro dos títulos da Ferrari?,Eddie Irvine,Rubens Barrichello,Felipe Massa,Jean Alesi,Rubens Barrichello
27,Que circuito acolheu o primeiro Grande Prémio realizado inteiramente à noite sob iluminação artificial?,Bahrein,Singapura,Abu Dhabi,Las Vegas,Singapura
28,Qual o significado da bandeira vermelha na Fórmula 1?,A entrada do Safety Car foi acionada,A corrida está interrompida por perigo extremo ou acidente,A última volta começou,A pista está escorregadia devido a óleo,A corrida está interrompida por perigo extremo ou acidente
29,Quem era o chefe de equipa da Mercedes durante a impressionante sequência de 8 títulos de construtores seguidos?,Christian Horner,Toto Wolff,Jean Todt,Flavio Briatore,Toto Wolff
30,"Que piloto britânico venceu o campeonato de 1996, seguindo as pisadas do seu lendário pai Graham Hill?",Damon Hill,Jacques Villeneuve,David Coulthard,Jenson Button,Damon Hill
31,Qual carro histórico de F1 chocou o mundo em 1976 por apresentar seis rodas em vez de quatro?,Lotus 72,Tyrrell P34,Brabham BT46,McLaren M23,Tyrrell P34
32,Qual motor equipava a Red Bull Racing durante o tetracampeonato consecutivo de Sebastian Vettel (2010-2013)?,Ferrari,Mercedes,Renault,Cosworth,Renault
33,Que piloto canadiano bateu Michael Schumacher em 1997 numa final polémica em Jerez de la Frontera?,Gilles Villeneuve,Jacques Villeneuve,Patrick Carpentier,Lance Stroll,Jacques Villeneuve
34,"Quem é o fundador da histórica equipa McLaren, tendo sido também piloto da mesma?",Ron Dennis,Bruce McLaren,Frank Williams,Colin Chapman,Bruce McLaren
35,Onde se localiza o circuito que sedia o Grande Prémio do Brasil?,Goiânia,Interlagos (São Paulo),Jacarepaguá (Rio de Janeiro),Tarumã,Interlagos (São Paulo)
36,Qual piloto alemão venceu o mundial de 2016 e anunciou a sua retirada imediata dos circuitos cinco dias depois?,Michael Schumacher,Sebastian Vettel,Nico Rosberg,Nico Hülkenberg,Nico Rosberg
37,"Como se chama o fenómeno aerodinâmico em que os carros sofrem saltos violentos em retas, muito comum com o efeito solo de 2022?",Graining,Porpoising,Aquaplanagem,Understeer,Porpoising
38,"Qual piloto detém a alcunha de 'O Leão' (Il Leone), ganha devido ao seu estilo agressivo na Williams e Ferrari?",Nigel Mansell,Keke Rosberg,James Hunt,John Watson,Nigel Mansell
39,Em que ano a Fórmula 1 introduziu os atuais motores V6 Turbo Híbridos?,2010,2012,2014,2016,2014
40,Qual o limite máximo de velocidade permitido na faixa das boxes (pit lane) na maioria dos circuitos europeus na corrida?,60 km/h,80 km/h,100 km/h,120 km/h,80 km/h
41,Qual piloto escocês foi bicampeão mundial (1963 e 1965) e era conhecido pela sua precisão cirúrgica ao volante?,Jackie Stewart,Jim Clark,David Coulthard,Mark Webber,Jim Clark
42,Quem foi o grande rival britânico de Niki Lauda no campeonato intensamente dramático de 1976?,James Hunt,Emerson Fittipaldi,Jody Scheckter,Clay Regazzoni,James Hunt
43,Que equipa italiana com sede em Faenza foi originalmente chamada de Minardi e mais tarde Toro Rosso?,Sauber,Haas,Visa Cash App RB / Racing Bulls,Force India,Visa Cash App RB / Racing Bulls
44,Qual composto de pneu da Pirelli é identificado pela cor vermelha nas pistas atuais?,Pneu Duro,Pneu Médio,Pneu Macio (Soft),Pneu de Chuva Intensa,Pneu Macio (Soft)
45,Quantas zonas de ativação de DRS tem habitualmente o Circuito urbano de Albert Park na Austrália nas configurações modernas?,1,2,3,4,4
46,Quem é o recordista histórico de presenças (Grandes Prémios disputados) na história da Fórmula 1?,Rubens Barrichello,Kimi Räikkönen,Fernando Alonso,Lewis Hamilton,Fernando Alonso
47,Qual piloto foi o primeiro vencedor de um Grande Prémio oficial em 1950 no circuito de Silverstone?,Giuseppe Farina,Juan Manuel Fangio,Luigi Fagioli,Reg Parnell,Giuseppe Farina
48,"Que engenheiro britânico é considerado o maior projetista e mago da aerodinâmica da história da F1, desenhando carros campeões na Williams, McLaren e Red Bull?",Ross Brawn,Adrian Newey,Toto Wolff,Paddy Lowe,Adrian Newey
49,Qual componente do motor elétrico recupera energia gerada a partir da travagem dos travões traseiros?,MGU-H,MGU-K,Turbocompressor,Bateria de Iões de Lítio,MGU-K
50,Qual a distância mínima padrão que deve ter a totalidade das voltas de um Grande Prémio de F1 (exceto Mónaco)?,250 km,300 km,305 km,350 km,305 km
51,Qual construtor introduziu o inovador chassi monocoque de fibra de carbono em 1981 com o MP4/1?,Ferrari,McLaren,Williams,Lotus,McLaren
52,Quem foi o primeiro piloto a vencer um campeonato mundial correndo com a sua própria equipa?,Jack Brabham,Bruce McLaren,John Surtees,Graham Hill,Jack Brabham
53,Qual piloto detém o recorde de mais vitórias consecutivas numa única temporada de F1?,Michael Schumacher,Sebastian Vettel,Max Verstappen,Lewis Hamilton,Max Verstappen
54,Que circuito acolhe o Grande Prémio da Bélgica?,Zandvoort,Hungaroring,Spa-Francorchamps,Monza,Spa-Francorchamps
55,"Qual é a duração máxima permitida para uma corrida de F1, incluindo interrupções por bandeira vermelha?",2 horas,3 horas,4 horas,5 horas,3 horas
56,Quem foi o único campeão mundial pós-morte na história da Fórmula 1?,Ayrton Senna,Jochen Rindt,Gilles Villeneuve,Ronnie Peterson,Jochen Rindt
57,Que piloto alemão ficou conhecido como o 'Barão Vermelho'?,Sebastian Vettel,Nico Rosberg,Michael Schumacher,Heinz-Harald Frentzen,Michael Schumacher
58,Qual piloto francês conquistou quatro títulos mundiais nos anos 80 e 90?,Alain Prost,Jean Alesi,René Arnoux,Jacques Laffite,Alain Prost
59,Qual equipa conquistou o mundial de construtores em 1997 com Jacques Villeneuve?,Ferrari,McLaren,Williams,Benetton,Williams
60,Em que país se localiza o famoso circuito de Suzuka?,China,Coreia do Sul,Japão,Malásia,Japão
61,Qual piloto britânico venceu o emocionante e chuvoso campeonato mundial de 1976?,James Hunt,Jackie Stewart,John Surtees,Graham Hill,James Hunt
62,O que significa a sigla MGU-H nas unidades de potência atuais?,Motor Generator Unit Heat,Maximal Generation Unit High,Mechanical Governor Unit Hybrid,Main Generator Utility Hydro,Motor Generator Unit Heat
63,Qual escuderia italiana corre sob as cores da icónica marca de carros desportivos de Maranello?,Alfa Romeo,Ferrari,AlphaTauri,Maserati,Ferrari
64,Qual piloto escocês foi conhecido como 'The Flying Scot' e venceu três campeonatos?,David Coulthard,Jackie Stewart,Jim Clark,Johnny Dumfries,Jackie Stewart
65,Que piloto sul-africano conquistou o título mundial em 1979 com a Ferrari?,Jody Scheckter,Desiré Wilson,Tony Maggs,Ian Scheckter,Jody Scheckter
66,Qual circuito sedia o Grande Prémio da Grã-Bretanha?,Brands Hatch,Silverstone,Donington Park,Goodwood,Silverstone
67,Em que ano a Williams conquistou o seu último campeonato mundial de construtores?,1994,1996,1997,2003,1997
68,Quem foi o companheiro de equipa de Ayrton Senna na McLaren em 1988 e 1989?,Alain Prost,Gerhard Berger,Nigel Mansell,Nelson Piquet,Alain Prost
69,Qual piloto finlandês venceu o campeonato mundial de 1998 e 1999 pela McLaren?,Kimi Räikkönen,Mika Häkkinen,Keke Rosberg,Heikki Kovalainen,Mika Häkkinen
70,Que engenheiro liderou tecnicamente a Ferrari nos títulos de Michael Schumacher como diretor técnico?,Adrian Newey,Ross Brawn,Paddy Lowe,James Allison,Ross Brawn
71,"Qual piloto brasileiro foi tricampeão mundial vencendo em 1981, 1983 e 1987?",Emerson Fittipaldi,Nelson Piquet,Ayrton Senna,Rubens Barrichello,Nelson Piquet
72,O que significa a exibição de uma bandeira amarela simples na pista?,Fim da corrida,Pista livre,"Perigo à frente, reduza a velocidade e não ultrapasse",Paragem nas boxes obrigatória,"Perigo à frente, reduza a velocidade e não ultrapasse"
73,Que piloto venceu o campeonato de 2008 na última curva da última volta no Brasil?,Felipe Massa,Lewis Hamilton,Kimi Räikkönen,Fernando Alonso,Lewis Hamilton
74,Qual pista é famosa pela sua travessia em túnel e o icónico gancho de hotel Grand Hotel Hairpin?,Mónaco,Singapura,Baku,Las Vegas,Mónaco
75,Que piloto polaco venceu o Grande Prémio do Canadá de 2008 pela BMW Sauber?,Robert Kubica,Nick Heidfeld,Vitaly Petrov,Sebastian Vettel,Robert Kubica
76,Quantas marchas para a frente têm as caixas de velocidades dos carros atuais de F1?,6,7,8,9,8
77,Qual a cor tradicional de corrida dos carros oficiais das equipas britânicas históricas?,Vermelho,Azul,Verde (British Racing Green),Amarelo,Verde (British Racing Green)
78,Quem foi o piloto que substituiu Michael Schumacher na Ferrari após a sua primeira retirada em 2006?,Kimi Räikkönen,Felipe Massa,Fernando Alonso,Giancarlo Fisichella,Kimi Räikkönen
79,Qual piloto colombiano venceu sete corridas e era famoso pela sua agressividade na Williams e McLaren?,Juan Pablo Montoya,Pastor Maldonado,Sergio Pérez,Carlos Reutemann,Juan Pablo Montoya
80,Que circuito norte-americano em Austin sedia o Grande Prémio dos EUA desde 2012?,Indianapolis,Laguna Seca,Circuit of the Americas (COTA),Watkins Glen,Circuit of the Americas (COTA)
81,Qual piloto australiano venceu 9 Grandes Prémios pela Red Bull Racing e era rival de Vettel?,Mark Webber,Daniel Ricciardo,Oscar Piastri,Alan Jones,Mark Webber
82,Qual piloto detém a alcunha de 'Checo'?,Sergio Pérez,Carlos Sainz,Fernando Alonso,Esteban Ocon,Sergio Pérez
83,Em que circuito foi introduzida a famosa curva 'Curva do Sol' por intermédio de Ayrton Senna?,Interlagos,Estoril,Ímola,Silverstone,Interlagos
84,Qual piloto canadiano era pai de Jacques Villeneuve e dá nome ao circuito de Montreal?,Gilles Villeneuve,Patrick Villeneuve,Arthur Villeneuve,Charles Villeneuve,Gilles Villeneuve
85,Que piloto britânico venceu o título de 2009 pela Brawn GP?,Jenson Button,Lewis Hamilton,David Coulthard,Mark Webber,Jenson Button
86,Qual equipe foi comprada pela Red Bull no final de 2004 para criar a Red Bull Racing?,Jaguar Racing,Jordan Grand Prix,Minardi,Sauber,Jaguar Racing
87,Que piloto de testes espanhol fez história pela Ferrari e é conhecido por 'Smooth Operator'?,Carlos Sainz,Fernando Alonso,Pedro de la Rosa,Marc Gené,Carlos Sainz
88,Que marca de relógios suíça é a Cronometradora Oficial da Fórmula 1 moderna?,Rolex,TAG Heuer,Omega,Hublot,Rolex
89,Quantos campeonatos mundiais de construtores ganhou a equipa Red Bull até ao final de 2023?,4,5,6,7,6
90,Qual foi o primeiro circuito asiático a receber a Fórmula 1?,Fuji Speedway,Suzuka,Sepang,Shanghai,Fuji Speedway
91,Quem venceu o primeiro Grande Prémio de Fórmula 1 em Miami (2022)?,Charles Leclerc,Max Verstappen,Carlos Sainz,Lewis Hamilton,Max Verstappen
92,Qual o nome do atual Diretor Executivo (CEO) da Fórmula 1?,Stefano Domenicali,Bernie Ecclestone,Chase Carey,Jean Todt,Stefano Domenicali
93,Qual o peso mínimo regulamentar de um carro de F1 atualmente (sem combustível)?,740 kg,798 kg,850 kg,700 kg,798 kg
94,Como se chama o composto de pneu Pirelli usado para pistas completamente molhadas?,Pneu Intermédio,Pneu de Chuva (Full Wet),Pneu Macio,Pneu C1,Pneu de Chuva (Full Wet)
95,Qual a cor do pneu Pirelli Intermédio?,Vermelho,Amarelo,Verde,Azul,Verde
96,Em que país fica situado o circuito de Hungaroring?,Hungria,Áustria,Chéquia,Polónia,Hungria
97,Que piloto detém o recorde de mais pódios na história da F1?,Michael Schumacher,Lewis Hamilton,Sebastian Vettel,Alain Prost,Lewis Hamilton
98,Qual piloto monegasco estreou pela Alfa Romeo Sauber e tornou-se estrela da Ferrari?,Charles Leclerc,Arthur Leclerc,Louis Chiron,Pierre Gasly,Charles Leclerc
99,Que equipa venceu todas as corridas de 1988 exceto uma (GP de Itália)?,Ferrari,McLaren,Williams,Lotus,McLaren
100,Quem foi o piloto mais velho a sagrar-se campeão do mundo de F1 (aos 46 anos)?,Juan Manuel Fangio,Giuseppe Farina,Jack Brabham,Graham Hill,Juan Manuel Fangio
101,Qual equipe alemã retornou como construtor integral em 2010 comprando a Brawn GP?,BMW,Porsche,Mercedes,Audi,Mercedes
102,"Em que pista ocorreu o GP da Grã-Bretanha de 1993, palco de uma famosa vitória de Prost?",Silverstone,Donington,Brands Hatch,Aintree,Silverstone
103,Qual piloto ficou famoso por saltar do carro em chamas no terrível acidente de Nürburgring em 1976?,Niki Lauda,James Hunt,Clay Regazzoni,Arturo Merzario,Niki Lauda
104,Qual piloto australiano venceu o campeonato de 1980 pela equipe Williams?,Alan Jones,Mark Webber,Daniel Ricciardo,Jack Brabham,Alan Jones
105,Quem foi o companheiro de equipa de Fernando Alonso na McLaren em 2007?,Lewis Hamilton,Kimi Räikkönen,Felipe Massa,Jenson Button,Lewis Hamilton
106,"Qual o circuito urbano conhecido por ter a reta mais longa do campeonato, localizada em Baku?",Circuito de Baku,Mónaco,Singapura,Las Vegas,Circuito de Baku
107,Qual piloto francês venceu uma corrida caótica em Monza (2020) pela AlphaTauri?,Pierre Gasly,Esteban Ocon,Romain Grosjean,Jean-Éric Vergne,Pierre Gasly
108,Qual piloto britânico garantiu o apelido de 'The Gorilla' ou 'Our Nige'?,Nigel Mansell,Damon Hill,James Hunt,John Watson,Nigel Mansell
109,Que piloto neozelandês conquistou o mundial de 1967?,Denny Hulme,Bruce McLaren,Chris Amon,Jack Brabham,Denny Hulme
110,Em qual circuito dos EUA os pilotos correram à volta de um parque de estacionamento do hotel Caesars Palace?,Las Vegas,Dallas,Detroit,Phoenix,Las Vegas
111,Que equipe francesa adotou uma pintura azul e amarela e depois preta e amarela antes de se tornar Alpine?,Renault,Peugeot,Ligier,Prost Grand Prix,Renault
112,Quem venceu o Mundial de F1 de 1962 e 1968 com a Lotus?,Graham Hill,Jim Clark,John Surtees,Jackie Stewart,Graham Hill
113,Qual piloto detém a alcunha de 'Honey Badger' (Teixugo do Mel)?,Daniel Ricciardo,Mark Webber,Oscar Piastri,Lando Norris,Daniel Ricciardo
114,Quem é o projetista chefe e CEO da equipe Williams atualmente?,James Vowles,Christian Horner,Toto Wolff,Zak Brown,James Vowles
115,O que significa a bandeira amarela e vermelha listrada?,Pista escorregadia por óleo ou água,Entrada imediata do Safety Car,Desqualificação,Fim de sessão,Pista escorregadia por óleo ou água
116,Qual piloto japonês se destacou na Sauber e AlphaTauri pelo seu estilo arrojado?,Kamui Kobayashi,Yuki Tsunoda,Takuma Sato,Kazuki Nakajima,Yuki Tsunoda
117,Em que ano a Scuderia Ferrari comemorou o seu milésimo (1000º) Grande Prémio?,2018,2020,2021,2022,2020
118,Que circuito sedia o Grande Prémio do Bahrein?,Sakhir,Yas Marina,Losail,Jeddah,Sakhir
119,Quem foi o primeiro campeão mundial norte-americano na história da F1 (1961)?,Phil Hill,Mario Andretti,Dan Gurney,Richie Ginther,Phil Hill
120,Qual piloto norte-americano nascido na Itália venceu o mundial de 1978?,Mario Andretti,Phil Hill,Michael Andretti,Eddie Cheever,Mario Andretti
121,Qual equipe foi fundada pelo bilionário canadense Lawrence Stroll após comprar a Force India?,Aston Martin (inicialmente Racing Point),Haas,Williams,Alpine,Aston Martin (inicialmente Racing Point)
122,Quem foi o grande fundador da escuderia que leva o cavalo empinado como símbolo?,Enzo Ferrari,Dino Ferrari,Luca di Montezemolo,Piero Ferrari,Enzo Ferrari
123,Em que cidade da Europa fica sediada a equipe McLaren?,Woking (Reino Unid),Milão (Itália),Enstone (França),Grove (Reino Unid),Woking (Reino Unid)
124,Qual a nacionalidade do piloto Max Verstappen?,Holandesa,Belga,Alemã,Austríaca,Holandesa
125,Qual piloto italiano foi campeão mundial em 1952 e 1953 pela Ferrari?,Alberto Ascari,Giuseppe Farina,Luigi Fagioli,Piero Taruffi,Alberto Ascari
126,O que significa a sigla FIA no automobilismo?,Fédération Internationale de l'Automobile,Federal International Association,Formula International Alliance,Festival International de l'Automobile,Fédération Internationale de l'Automobile
127,Qual piloto britânico é conhecido pela sua grande amizade com Verstappen e corre pela McLaren?,Lando Norris,George Russell,Alex Albon,Oscar Piastri,Lando Norris
128,Qual o piloto mais jovem a conquistar uma Pole Position na história?,Sebastian Vettel,Max Verstappen,Charles Leclerc,Lewis Hamilton,Sebastian Vettel
129,Qual piloto de Fórmula 1 sobreviveu milagrosamente a um terrível acidente com fogo no Bahrein em 2020?,Romain Grosjean,Kevin Magnussen,Daniil Kvyat,Marcus Ericsson,Romain Grosjean
130,Qual equipe norte-americana entrou na F1 em 2016 fundada por Gene Haas?,Haas F1 Team,US F1,Andretti Autosport,Penske,Haas F1 Team
131,Que piloto finlandês venceu o mundial de 1982 com apenas uma vitória na temporada?,Keke Rosberg,Mika Häkkinen,Kimi Räikkönen,Mika Salo,Keke Rosberg
132,Quem foi o primeiro piloto asiático a subir ao pódio numa corrida de F1?,Aguri Suzuki,Takuma Sato,Kamui Kobayashi,Alex Albon,Aguri Suzuki
133,Em que circuito se realiza o Grande Prémio dos Países Baixos?,Zandvoort,Assen,Roterdão,Zolder,Zandvoort
134,Qual o nome do famoso troféu atribuído ao vencedor do campeonato de construtores?,Taça de Construtores da FIA,Troféu Memorial de Construtores,Troféu de Construtores,Taça do Mundo de Construtores,Troféu de Construtores
135,Que piloto detém o apelido de 'O Holandês Voador'?,Max Verstappen,Jos Verstappen,Nyck de Vries,Christijan Albers,Max Verstappen
136,"Qual piloto venceu o campeonato mundial de 1964, sendo o único a ser campeão em duas e quatro rodas?",John Surtees,Mike Hailwood,Geoff Duke,Giacomo Agostini,John Surtees
137,Qual escuderia utilizava motores Mugen-Honda nos anos 90 e tinha carros amarelos chamativos?,Jordan,Benetton,Arrows,Minardi,Jordan
138,Que circuito sedia o Grande Prémio dos Emirados Árabes Unidos (Abu Dhabi)?,Yas Marina,Sakhir,Losail,Jeddah,Yas Marina
139,Que piloto alemão venceu as 24 Horas de Le Mans e correu na F1 por equipas como Force India e Renault?,Nico Hülkenberg,Pascal Wehrlein,Mick Schumacher,Adrian Sutil,Nico Hülkenberg
140,Qual a penalização mais leve em termos de tempo que os comissários podem aplicar durante uma corrida?,5 segundos,10 segundos,Drive-through,Stop and Go,5 seconds
141,Quem detém o recorde de paragem nas boxes (pit stop) mais rápida da história (1.80 segundos)?,Red Bull Racing,McLaren,Ferrari,Mercedes,McLaren
142,Que piloto brasileiro correu pela Ferrari e Williams e foi vice-campeão em 2002 e 2004?,Rubens Barrichello,Felipe Massa,Giancarlo Fisichella,Ricardo Zonta,Rubens Barrichello
143,Qual o nome do circuito citadino onde se corre o Grande Prémio do Canadá?,Circuito Gilles Villeneuve,Circuito de Montreal,Circuito Mont-Tremblant,Mosport,Circuito Gilles Villeneuve
144,Quem foi o diretor de equipa da Scuderia Ferrari durante os 5 títulos seguidos de Schumacher?,Jean Todt,Stefano Domenicali,Maurizio Arrivabene,Mattia Binotto,Jean Todt
145,Que equipe britânica dominou o início dos anos 90 com a suspensão ativa projetada por Newey?,Williams,McLaren,Benetton,Ferrari,Williams
146,Quem era o companheiro de equipa de Lewis Hamilton na Mercedes entre 2017 e 2021?,Valtteri Bottas,Nico Rosberg,George Russell,Esteban Ocon,Valtteri Bottas
147,Qual circuito sedia o Grande Prémio da Áustria?,Red Bull Ring,Österreichring,Salzburgring,Spielberg Circuit,Red Bull Ring
148,Que piloto francês venceu o GP da Hungria de 2021 pela Alpine?,Esteban Ocon,Pierre Gasly,Romain Grosjean,Jean Alesi,Esteban Ocon
149,Qual piloto sueco faleceu num trágico acidente em Monza no ano de 1978?,Ronnie Peterson,Gunnar Nilsson,Stefan Johansson,Marcus Ericsson,Ronnie Peterson
150,Quem foi o campeão mundial de Fórmula 1 em 1996?,Damon Hill,Jacques Villeneuve,Michael Schumacher,Mika Häkkinen,Damon Hill
151,Quantos metros tem a distância padrão de um pit lane?,Varia de acordo com o circuito,300 metros fixos,400 metros fixos,500 metros fixos,Varia de acordo com o circuito
152,"Qual piloto mexicano correu pela Sauber, McLaren, Force India e Red Bull?",Sergio Pérez,Esteban Gutiérrez,Pedro Rodríguez,Ricardo Rodríguez,Sergio Pérez
153,Em que circuito espanhol se realizou o GP de Espanha durante grande parte das últimas décadas?,Circuito de Barcelona-Catalunha,Jerez,Jarama,Valência,Circuito de Barcelona-Catalunha
154,Qual a marca de motores que fez parceria com a McLaren nos anos 80 gerando domínio absoluto?,Honda,Porsche,Ford,Renault,Honda
155,Qual piloto detém o recorde de mais voltas mais rápidas na história da F1?,Michael Schumacher,Lewis Hamilton,Kimi Räikkönen,Alain Prost,Michael Schumacher
156,Quem foi o primeiro piloto nascido na Oceania a ser campeão mundial?,Jack Brabham,Alan Jones,Denny Hulme,Bruce McLaren,Jack Brabham
157,Em qual circuito se disputa o Grande Prémio de Itália além de Monza em ocasiões especiais (como Ímola)?,Autodromo Enzo e Dino Ferrari,Mugello,Vallelunga,Fiorano,Autodromo Enzo e Dino Ferrari
158,Que escuderia foi campeã mundial em 1994 e 1995 com Michael Schumacher?,Benetton,Ferrari,Williams,Ligier,Benetton
159,"Que piloto inglês correu pela McLaren e Mercedes, subindo ao pódio na sua corrida de estreia?",Lewis Hamilton,George Russell,Jenson Button,Lando Norris,Lewis Hamilton
160,Qual a velocidade máxima permitida no pit lane em circuitos urbanos mais estreitos como o Mónaco?,60 km/h,80 km/h,50 km/h,40 km/h,60 km/h
161,Que circuito acolhe o espetacular Grande Prémio de Singapura?,Circuito de Marina Bay,Circuito de Sentosa,Circuito de Changi,Sepang,Circuito de Marina Bay
162,Qual o nome do dispositivo de retenção de cabeça e pescoço obrigatório para todos os pilotos?,HANS (Head and Neck Support),Halo,Aeroscreen,Monocoque,HANS (Head and Neck Support)
163,Quem detém o recorde de piloto com mais vitórias na história do GP de Mónaco (6 vitórias)?,Ayrton Senna,Michael Schumacher,Graham Hill,Alain Prost,Ayrton Senna
164,Qual piloto italiano era conhecido como 'Il Leone di Jesi' e correu nos primórdios da F1?,Luigi Fagioli,Giuseppe Farina,Alberto Ascari,Michele Alboreto,Luigi Fagioli
165,Em que país se situa o circuito de Interlagos?,Brasil,Portugal,Espanha,México,Brasil
166,Que equipe foi comprada pela Audi para a sua entrada oficial no campeonato a partir de 2026?,Sauber,Haas,Williams,AlphaTauri,Sauber
167,Quantas equipes competem atualmente no campeonato regular da Fórmula 1?,10,11,12,9,10
168,Quantos carros no total alinham na grelha de partida se todas as 10 equipas participarem?,20,22,24,18,20
169,Qual o nome da famosa reta do circuito de Silverstone onde se localizam as boxes atuais?,Hamilton Straight,Wellington Straight,Hangar Straight,National Straight,Hamilton Straight
170,Qual a reta mais longa do circuito de Silverstone clássico?,Hangar Straight,Wellington Straight,Becketts Straight,Stowe Straight,Hangar Straight
171,Quem foi o engenheiro chefe e fundador da escuderia Lotus?,Colin Chapman,Bruce McLaren,Frank Williams,Ken Tyrrell,Colin Chapman
172,Em que ano a escuderia Mercedes retornou à F1 com Michael Schumacher e Nico Rosberg?,2010,2008,2012,2005,2010
173,Qual piloto tailandês correu pela Red Bull Racing e posteriormente pela Williams?,Alex Albon,Prince Bira,Toranosuke Takagi,Kamui Kobayashi,Alex Albon
174,Qual a cor da bandeira que sinaliza o fim imediato de qualquer sessão ou corrida?,Bandeira de xadrez (branca e preta),Bandeira verde,Bandeira vermelha,Bandeira amarela,Bandeira de xadrez (branca e preta)
