id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
98,"No anime Ao Haru Ride (Blue Spring Ride), qual o apelido original do grande amor de Futaba na escola primária antes de ele mudar de nome?",Kou Tanaka,Kou Mabuchi,Toma Kikuchi,Ren Honjo,Kou Tanaka
99,"No anime de culinária Food Wars! (Shokugeki no Soma), qual o prato assinatura que Soma Yukihira faz no primeiro episódio?",Assado de porco falso (feito com batata e bacon),Ramen supremo de porco,Omelete de arroz imperial,Caril de especiarias secretas,Assado de porco falso (feito com batata e bacon)
100,Qual é o nome da temida 'Língua de Deus' na academia de culinária Tootsuki em Food Wars!?,Erina Nakiri,Alice Nakiri,Megumi Tadokoro,Ikumi Mito,Erina Nakiri
101,"No anime Shaman King, qual é o prato de comida favorito do protagonista descontraído Yoh Asakura?",Hambúrguer,Ramen,Caril,Sushi,Hambúrguer
102,"No anime de desporto Free!, qual o estilo de natação em que o protagonista Haruka Nanase se especializa exclusivamente?",Estilo Livre (Crawl),Bruços,Costas,Mariposa,Estilo Livre (Crawl)
103,"No anime Charlotte, qual é a limitação severa do poder de invisibilidade do protagonista Yuu Otosaka?",Ele só consegue ficar invisível para uma pessoa de cada vez,Ele só fica invisível no escuro,A invisibilidade dura apenas 5 segundos,Ele perde as roupas ao ficar invisível,Ele só consegue ficar invisível para uma pessoa de cada vez
104,"No anime Guilty Crown, qual é a arma ou objeto manifestado a partir do coração de Inori Yuzuriha?",Uma espada gigante de cristal,Um escudo indestrutível,Um arco laser,Um espelho da verdade,Uma espada gigante de cristal
105,"No anime de comédia e fantasia Maid Sama!, qual o segredo embaraçoso que a presidente do conselho estudantil Misaki Ayuzawa esconde?",Trabalha em part-time num Maid Café,É uma cantora pop secreta,É secretamente rica,Pratica artes marciais ilegais,Trabalha em part-time num Maid Café
106,"No anime Kimi ni Todoke, qual o nome da doce protagonista que é confundida com a assustadora rapariga do filme 'The Ring' (Sadako)?",Sawako Kuronuma,Chizuru Yoshida,Ayane Yano,Ume Kurumi,Sawako Kuronuma
107,"No anime de basquetebol Kuroko no Basket, qual a habilidade invisível e única do protagonista Tetsuya Kuroko?",Falta de presença (Misdirection) que facilita passes ocultos,Afundar de costas,Lançamentos de três pontos perfeitos,Velocidade sónica de drible,Falta de presença (Misdirection) que facilita passes ocultos
108,"No anime Chihayafuru, que jogo tradicional japonês de cartas de poemas move o enredo principal?",Karuta,Shogi,Mahjong,Hana fuda,Karuta
109,"No anime de fantasia Log Horizon, em que cidade central os jogadores fundam o seu quartel-general após ficarem presos no jogo?",Akihabara,Susukino,Shibuya,Minami,Akihabara
110,"No anime de terror Shiki, que tipo de criaturas místicas e góticas aterrorizam a pequena e isolada vila de Sotoba?",Vampiros (Shiki),Lobisomens,Zombies,Espíritos vingativos,Vampiros (Shiki)
111,"No clássico de ficção científica Ergo Proxy, qual o nome da cidade utópica abobadada onde a história começa?",Romdo,Mosk,Neo-Tokyo,Olympus,Romdo
112,"No anime de mistério e drama Hyouka, qual é a frase icónica dita por Eru Chitanda sempre que fica curiosa?","Estou curiosa! (Watashi, kininarimasu!)",Ajuda-me a resolver isto!,Isto é um mistério!,Não consigo dormir!,"Estou curiosa! (Watashi, kininarimasu!)"
113,"No universo de Magi: The Labyrinth of Magic, o pequeno Aladdin é revelado como sendo o quê?",Um Magi,Um Dungeon Capturer,Um Rei exilado,Um Djinn,Um Magi
114,"No anime de ficção científica Steins;Gate, qual é a alcunha de cientista louco adotada com orgulho por Rintarou Okabe?",Hououin Kyouma,John Titor,Mad Scientist,Chunibyo,Hououin Kyouma
115,"No anime de mistério Danganronpa, qual o aspeto físico bizarro do urso robótico diretor Monokuma?","Metade branco e fofinho, metade preto e com um sorriso demoníaco",Totalmente dourado,Um urso de pelúcia cor-de-rosa,Um urso cibernético sem rosto,"Metade branco e fofinho, metade preto e com um sorriso demoníaco"
116,"No universo medieval de Claymore, o que as guerreiras híbridas usam para detetar a presença dos monstros Yoma?",A energia espiritual chamada Yoki,O olfato apurado,Aparelhos eletrónicos mágicos,Pedras mágicas de cristal,A energia espiritual chamada Yoki
117,"No anime Beyond the Boundary (Kyoukai no Kanata), qual a habilidade mágica rara da protagonista Mirai Kuriyama?",Manipulação do seu próprio sangue amaldiçoado,Invocação de chamas negras,Criação de portais dimensionais,Controlo de plantas venenosas,Manipulação do seu próprio sangue amaldiçoado
118,"No anime Nichijou (My Ordinary Life), que tipo de criatura ou ser é Nano Shinonome?",Uma robô construída por uma menina cientista,Uma estudante alienígena,Uma fantasma que assombra a escola,Uma humana com superpoderes,Uma robô construída por uma menina cientista
119,"No anime de comédia e fantasia e desporto Inazuma Eleven (Super Onze), qual a técnica de guarda-redes lendária de Mamoru Endo?",Mão Psíquica / Mão Celestial (God Hand),Mão Demoníaca,Golo Invencível,Escudo de Energia,Mão Psíquica / Mão Celestial (God Hand)
120,"No anime Noragami, o que Yato pede como pagamento simbólico de 5 ienes para realizar qualquer tarefa ou pedido humano?",Uma moeda de 5 ienes,Um prato de ramen,Uma oração no templo,Um amuleto de sorte,Uma moeda de 5 ienes
121,"No anime Owari no Seraph, qual é o nome do melhor amigo de infância de Yuichiro que se transforma num vampiro de elite?",Mikaela Hyakuya,Guren Ichinose,Shinya Hiiragi,Yoichi Saotome,Mikaela Hyakuya
122,"No anime Bungo Stray Dogs, qual é o poder especial do protagonista Atsushi Nakajima?",Transformar-se num Tigre Branco sob a Lua (Beast Beneath the Moonlight),Anulação de qualquer habilidade,Controlo da gravidade,Criação de ilusões realistas,Transformar-se num Tigre Branco sob a Lua (Beast Beneath the Moonlight)
123,"No anime Bungo Stray Dogs, qual o passatempo obsessivo e cómico do detetive Osamu Dazai?",Tentar encontrar uma forma indolor de cometer suicídio,Colecionar livros de poesia antiga,Apostar em corridas de cavalos,Cozinhar pratos exóticos,Tentar encontrar uma forma indolor de cometer suicídio
124,"No anime de fantasia Grimgar of Fantasy and Ash, o que torna as batalhas contra meros goblins tão marcantes?",O realismo dramático e a dificuldade extrema que os personagens têm para sobreviver,O uso de magias de destruição planetária,Os goblins são robôs gigantes,As lutas ocorrem no espaço sideral,O realismo dramático e a dificuldade extrema que os personagens têm para sobreviver
125,"No anime de ficção científica e música Macross Delta, como se chama o grupo de ídolos táticas que combatem a Síndrome de Var com canções?",Walküre,Sheryl & Ranka,Sound Force,Lynn Minmay Band,Walküre
126,"No anime Re:Zero, qual a cor característica do cabelo e do vestido da empregada doméstica Rem?",Azul,Rosa,Verde,Roxo,Azul
127,"No anime Re:Zero, qual a cor característica do cabelo da irmã gémea de Rem, chamada Ram?",Rosa,Azul,Laranja,Amarelo,Rosa
128,"No anime de ficção científica e mechas Code Geass, qual o verdadeiro nome de baptismo de Lelouch Lamperouge?",Lelouch vi Britannia,Lelouch de Carlos,Lelouch vi Elevens,Lelouch Kururugi,Lelouch vi Britannia
129,"No anime de comédia romântica Kaguya-sama: Love is War, qual é o objetivo central dos dois protagonistas no conselho estudantil?",Fazer com que o outro se declare e confesse o seu amor primeiro,Ganhar as eleições escolares,Passar nos exames nacionais,Destruir a reputação da escola rival,Fazer com que o outro se declare e confesse o seu amor primeiro
130,"No anime The Promised Neverland (Yakusoku no Neverland), o que os órfãos descobrem que a sua adorada 'Mãe' (Isabella) faz na realidade?",Cria-os como alimento de alta qualidade para demónios,Trabalha para o governo num bunker,Vende os órfãos como escravos de guerra,Prepara-os para um torneio de artes marciais,Cria-os como alimento de alta qualidade para demónios
131,"No anime The Promised Neverland, qual é o número de identificação tatuado no pescoço da protagonista Emma?",63194,22194,81194,54194,63194
132,"No anime Demon Slayer, qual a técnica de respiração principal usada por Zenitsu Agatsuma que ele domina perfeitamente na sua única forma?",Respiração do Trovão (Thunder Breathing),Respiração da Água,Respiração das Chamas,Respiração do Vento,Respiração do Trovão (Thunder Breathing)
133,"No anime Demon Slayer, que pilar (Hashira) guia Tanjiro no início e domina a Respiração da Água?",Giyu Tomioka,Kyojuro Rengoku,Shinobu Kocho,Tengen Uzui,Giyu Tomioka
134,"No anime Jujutsu Kaisen, qual é o nome da técnica de barreira expansiva absoluta usada por Satoru Gojo?",Vazio Infinito (Infinite Void),Auto-incorporação da Perfeição,Santuário Malévolo,Jardim de Sombras Quimera,Vazio Infinito (Infinite Void)
135,"No anime Jujutsu Kaisen, qual a característica física marcante que Satoru Gojo esconde quase sempre com uma venda ou óculos escuros?",Os seus olhos azuis brilhantes chamados Seis Olhos (Six Eyes),Uma cicatriz profunda de batalha,Um terceiro olho demoníaco,Olhos completamente cegos,Os seus olhos azuis brilhantes chamados Seis Olhos (Six Eyes)
136,"No anime Dororo, o que o protagonista Hyakkimaru tenta recuperar ao derrotar 12 demónios pelo Japão fora?",As partes do seu próprio corpo que o seu pai sacrificou aos demónios,O tesouro real da sua família,A alma da sua falecida mãe,Uma espada sagrada partida,As partes do seu próprio corpo que o seu pai sacrificou aos demónios
