id(numero),pergunta,resposa1,resposta2,resposta3,reposta4,resposta certa
40,Qual destes jogadores venceu a Bola de Ouro jogando pelo Real Madrid e pela seleção da Croácia?,Luka Modrić,Ivan Rakitić,Davor Šuker,Mario Mandžukić,Luka Modrić
41,Em qual clube inglês se destacou David Beckham antes de ir para o Real Madrid?,Arsenal,Chelsea,Manchester United,Liverpool,Manchester United
42,Qual jogador brasileiro ficou famoso pelos seus dribles espetaculares e magia ao serviço do Barcelona e Atlético Mineiro?,Ronaldo,Kaká,Ronaldinho Gaúcho,Robinho,Ronaldinho Gaúcho
43,Que lendário guarda-redes italiano jogou a maior parte da sua carreira na Juventus e retirou-se no Parma?,Gianluigi Buffon,Dino Zoff,Walter Zenga,Gianluigi Donnarumma,Gianluigi Buffon
44,"Qual médio francês, conhecido pela sua elegância, deu uma cabeçada em Materazzi na final do Mundial de 2006?",Thierry Henry,Patrick Vieira,Zinedine Zidane,Michel Platini,Zinedine Zidane
45,Quem é o maior marcador da história da seleção brasileira masculina em jogos oficiais (FIFA)?,Pelé,Neymar Jr,Ronaldo,Romário,Neymar Jr
46,Qual jogador egípcio que se tornou uma lenda moderna no Liverpool FC?,Sadio Mané,Mohamed Salah,Riyad Mahrez,Achraf Hakimi,Mohamed Salah
47,De qual país é originário o craque Luis Suárez?,Argentina,Colômbia,Uruguai,Chile,Uruguai
48,Que guarda-redes espanhol ficou conhecido como 'San Iker' ao serviço do Real Madrid e FC Porto?,David de Gea,Iker Casillas,Victor Valdés,Santiago Cañizares,Iker Casillas
49,"Qual jogador belga brilhou no Chelsea antes de se transferir para o Real Madrid, onde sofreu com lesões até se retirar?",Kevin De Bruyne,Eden Hazard,Romelu Lukaku,Thaut Courtois,Eden Hazard
50,Quem foi o último jogador a ganhar a Bola de Ouro antes da era de domínio de Messi e Cristiano Ronaldo (em 2007)?,Ronaldinho,Thierry Henry,Kaká,Cannavaro,Kaká
51,Qual avançado polaco que marcou época no Bayern Munique antes de ir para o Barcelona?,Robert Lewandowski,Miroslav Klose,Lukas Podolski,Arkadiusz Milik,Robert Lewandowski
52,Que médio espanhol do Barcelona era conhecido pela parceria icónica com Xavi Hernandez?,Sergio Busquets,Andrés Iniesta,Cesc Fàbregas,Xabi Alonso,Andrés Iniesta
53,Quem foi o capitão e defesa central icónico do Real Madrid conhecido pelo número 4 e golos nos descontos?,Sergio Ramos,Pepe,Raphaël Varane,Carles Puyol,Sergio Ramos
54,Qual lateral-esquerdo brasileiro ficou eternizado pelo seu forte remate de trivela e falta contra a França em 1997?,Cafu,Marcelo,Filipe Luís,Roberto Carlos,Roberto Carlos
55,Que lenda do futebol galês jogou toda a sua carreira profissional no Manchester United?,Gareth Bale,Ryan Giggs,Aaron Ramsey,Ian Rush,Ryan Giggs
56,"Qual era a nacionalidade do lendário Eusébio, conhecido como o 'Pantera Negra'?",Angolana,Portuguesa,Moçambicana,Cabo-verdiana,Portuguesa
57,Que avançado marcou o golo do título invicto do Arsenal na Premier League 2003/04?,Dennis Bergkamp,Thierry Henry,Robert Pires,Patrick Vieira,Thierry Henry
58,Qual o nome do icónico defesa central italiano que passou a carreira no AC Milan com o número 3?,Paolo Maldini,Franco Baresi,Alessandro Nesta,Fabio Cannavaro,Paolo Maldini
59,"Que avançado camaronês brilhou no Barcelona, Inter de Milão e Chelsea?",Didier Drogba,Samuel Eto'o,Yaya Touré,Roger Milla,Samuel Eto'o
60,Quem é o maior marcador de sempre da história da seleção de Portugal?,Eusébio,Luís Figo,Pauleta,Cristiano Ronaldo,Cristiano Ronaldo
61,"Qual médio alemão, campeão mundial em 2014, anunciou a sua retirada dos relvados após o Euro 2024?",Mesut Özil,Toni Kroos,Thomas Müller,Bastian Schweinsteiger,Toni Kroos
62,Que defesa central neerlandês foi finalista da Bola de Ouro em 2019 ao serviço do Liverpool?,Virgil van Dijk,Matthijs de Ligt,Frenkie de Jong,Nathan Aké,Virgil van Dijk
63,Qual lendário jogador inglês detém o recorde de maior marcador da Premier League com 260 golos?,Wayne Rooney,Harry Kane,Alan Shearer,Thierry Henry,Alan Shearer
64,"Que avançado marfinense é considerado um dos maiores ídolos da história do Chelsea, herói da Champions de 2012?",Didier Drogba,Salomon Kalou,Samuel Eto'o,Nicolas Anelka,Didier Drogba
65,Qual médio de contenção francês ganhou a Champions pelo Chelsea e o Mundial pela França correndo incansavelmente?,Paul Pogba,N'Golo Kanté,Blaise Matuidi,Adrien Rabiot,N'Golo Kanté
66,Qual é o clube com mais títulos da Liga dos Campeões da UEFA?,AC Milan,Bayern Munique,Real Madrid,Liverpool,Real Madrid
67,Quantas Champions Leagues ganhou o Real Madrid até ao final da época 2023/24?,10,13,15,14,15
68,"Que clube venceu a Liga dos Campeões na época 2022/23, conquistando o seu primeiro título?",Paris Saint-Germain,Manchester City,Atlético de Madrid,Arsenal,Manchester City
69,Qual clube italiano tem o segundo maior número de títulos da Champions League (7 troféus)?,Juventus,Inter de Milão,AC Milan,Roma,AC Milan
70,Que equipa alemã venceu o 'Treble' (Tríplice Coroa) em 2013 e 2020?,Borussia Dortmund,Bayern Munique,Bayer Leverkusen,RB Leipzig,Bayern Munique
71,Qual clube inglês realizou a famosa reviravolta contra o AC Milan em Istambul no ano de 2005?,Manchester United,Chelsea,Arsenal,Liverpool,Liverpool
72,Que clube português venceu a Liga dos Campeões em 2004 sob o comando de José Mourinho?,Benfica,FC Porto,Sporting CP,Boavista,FC Porto
73,Quantas vezes o FC Barcelona conquistou a Liga dos Campeões na sua história?,3,4,5,6,5
74,Qual estádio inglês é tradicionalmente o palco das finais da Taça de Inglaterra e acolheu finais da Champions?,Old Trafford,Anfield,Wembley,Emirates Stadium,Wembley
75,Que clube escocês foi o primeiro britânico a vencer a Taça dos Clubes Campeões Europeus em 1967?,Rangers,Celtic,Aberdeen,Hearts,Celtic
76,Qual clube inglês venceu a Champions League em 1999 com dois golos nos descontos contra o Bayern?,Arsenal,Chelsea,Liverpool,Manchester United,Manchester United
77,Quem foi o treinador que levou o Chelsea a conquistar a sua primeira Champions em 2012?,José Mourinho,Roberto Di Matteo,Carlo Ancelotti,Thomas Tuchel,Roberto Di Matteo
78,"Que equipa espanhola chegou a três finais da Champions League (1974, 2014, 2016) mas perdeu todas?",Atlético de Madrid,Valência,Sevilha,Villarreal,Atlético de Madrid
79,Qual clube detém o recorde de mais títulos da Liga Europa da UEFA (antiga Taça UEFA)?,Juventus,Sevilha,Inter de Milão,Liverpool,Sevilha
80,Que equipa francesa venceu a única Champions League para o seu país em 1993?,Paris Saint-Germain,Olympique de Lyon,Olympique de Marselha,Mónaco,Olympique de Marselha
81,Qual é o hino oficial da Liga dos Campeões da UEFA baseado em qual compositor clássico?,Bach,Handel,Beethoven,Mozart,Handel
82,Que equipa eliminou o Barcelona com uma reviravolta por 4-0 em Anfield na Champions 2018/19?,Real Madrid,Manchester City,Liverpool,Roma,Liverpool
83,Qual clube dos Países Baixos surpreendeu a Europa ao chegar às meias-finais da Champions em 2019 com jovens talentos?,PSV Eindhoven,Ajax,Feyenoord,AZ Alkmaar,Ajax
84,Quem marcou o espetacular golo de pontapé de bicicleta pelo Real Madrid contra a Juventus na Champions de 2018?,Gareth Bale,Karim Benzema,Cristiano Ronaldo,Sergio Ramos,Cristiano Ronaldo
85,E quem marcou o golo de bicicleta na final da Champions de 2018 contra o Liverpool?,Cristiano Ronaldo,Gareth Bale,Karim Benzema,Luka Modrić,Gareth Bale
86,Quantos clubes portugueses já venceram a Taça dos Campeões Europeus / Liga dos Campeões?,1,2,3,4,2
87,Que clube venceu a Champions League em 2021 ao derrotar o Manchester City na final no Porto?,Real Madrid,Bayern Munique,Chelsea,Liverpool,Chelsea
88,Quantas finais seguidas de Champions League o Real Madrid ganhou entre 2016 e 2018?,2,3,4,5,3
89,Que clube holandês ganhou três Taças dos Campeões Europeus consecutivas na década de 70 com o 'Futebol Total'?,Feyenoord,PSV,Ajax,Utrecht,Ajax
90,Qual o único clube do leste europeu a vencer a Champions no formato moderno (ou Taça dos Campeões) além do Estrela Vermelha?,Steaua Bucareste,Dínamo de Kiev,Shakhtar Donetsk,Zenit,Steaua Bucareste
91,Que clube italiano perdeu o maior número de finais da Champions League na história (7 derrotas)?,AC Milan,Inter de Milão,Juventus,Roma,Juventus
92,Quem foi o melhor marcador da Liga dos Campeões da UEFA na edição de 2023/24?,Erling Haaland,Harry Kane / Kylian Mbappé,Vinícius Jr,Rodrygo,Harry Kane / Kylian Mbappé
93,Que equipa quebrou a maldição e venceu a primeira Europa Conference League em 2022?,Feyenoord,Roma,West Ham,Fiorentina,Roma
94,Quantos títulos da Taça dos Campeões Europeus conquistou o Benfica de Eusébio na década de 60?,1,2,3,4,2
95,Qual equipa eliminou o Real Madrid nas meias-finais da Champions 2022/23 com uma vitória por 4-0 no jogo de volta?,Inter de Milão,Bayern Munique,Manchester City,Chelsea,Manchester City
96,Quantos jogadores de cada equipa podem estar em campo simultaneamente no início de um jogo de futebol?,9,10,11,12,11
97,"Qual é a duração oficial de uma partida de futebol regular, excluindo o prolongamento?",80 minutos,90 minutos,100 minutos,120 minutos,90base de tempo
97,"Qual é a duração oficial de uma partida de futebol regular, excluindo o prolongamento?",80 minutos,90 minutos,100 minutos,120 minutos,90 minutos
98,A que distância da linha de golo fica a marca da grande penalidade (penálti)?,9 metros,10 metros,11 metros,12 metros,11 metros
99,O que significa a sigla VAR no futebol moderno?,Video Assistant Referee,Velocity Action Recording,Variable Angle Radar,Viewer Associate Referee,Video Assistant Referee
100,Quantas substituições normais são permitidas por equipa na maioria das competições atuais durante os 90 minutos?,3,4,5,6,5
101,Qual a cor do cartão exibido pelo árbitro para expulsar diretamente um jogador de campo?,Amarelo,Azul,Verde,Vermelho,Vermelho
102,"Se um jogo for para prolongamento devido a empate numa eliminatória, quantos minutos extra são jogados?",15 minutos,20 minutos,30 minutos,45 minutos,30 minutos
103,Qual organismo é responsável por determinar e modificar as Leis do Jogo do futebol mundial?,FIFA,UEFA,IFAB,CONMEBOL,IFAB
104,Como se chama a situação em que um atacante está mais adiantado que o penúltimo adversário no momento do passe?,Falta,Fora de Jogo (Impedimento),Canto,Penálti,Fora de Jogo (Impedimento)
105,Em que país moderno foram unificadas e escritas as primeiras regras oficiais do futebol em 1863?,França,Brasil,Inglaterra,Escócia,Inglaterra
106,Qual o tamanho padrão máximo permitido para o comprimento de um relvado de jogo internacional?,90m,100m,110m,120m,110m
107,Um golo marcado diretamente a partir de um pontapé de canto é chamado de golo...,Olímpico,Técnico,Direto,Mágico,Olímpico
108,O que acontece se um guarda-redes agarrar a bola com as mãos após um passe intencional atrasado com o pé por um colega?,É penálti,O jogo segue,Livre indireto dentro da área,Cartão vermelho direto,Livre indireto dentro da área
109,Quantos cartões amarelos acumula um jogador na mesma partida antes de receber o cartão vermelho?,2,3,4,1,2
110,"Quem inventou o uso dos cartões amarelo e vermelho no futebol, inspirando-se nos semáforos?",Ken Aston,Jules Rimet,Stanley Rous,João Havelange,Ken Aston
111,Em qual edição do Mundial os cartões amarelos e vermelhos foram utilizados pela primeira vez?,1966,1970,1974,1982,1970
112,Qual a largura regulamentar entre os dois postes de uma baliza de futebol de onze?,"7,32 metros","6,50 metros","7,50 metros","8,00 metros","7,32 metros"
113,Qual a altura regulamentar do solo até à barra transversal (travessão) de uma baliza?,"2,44 metros","2,20 metros","2,50 metros","2,60 metros","2,44 metros"
114,"Se a bola sair completamente pela linha de cabeceira tocada por um atacante, como é recomeçado o jogo?",Pontapé de canto,Pontapé de baliza (tiro de meta),Lançamento lateral,Livre direto,Pontapé de baliza (tiro de meta)
115,Quantos segundos máximos tem o guarda-redes regulamentarmente para reter a bola nas mãos?,5 segundos,6 segundos,8 segundos,10 segundos,6 segundos
116,É permitido marcar um golo direto a partir de um lançamento de linha lateral com as mãos?,Sim,Não,Apenas se desviar no guarda-redes,Apenas na grande área,Não
117,Em que ano foi introduzida a tecnologia da linha de golo (GLT) num Mundial da FIFA?,2010,2014,2018,2022,2014
118,Quantos metros de raio tem o círculo central do meio campo?,"9,15 metros",10 metros,11 metros,"8,50 metros","9,15 metros"
119,"O que define a regra do 'golo de ouro', já extinta das competições?",O primeiro a marcar no prolongamento ganha o jogo imediatamente,O golo fora de casa vale por dois,Golos de fora da área valem o dobro,O golo marcado nos primeiros 5 minutos da partida,O primeiro a marcar no prolongamento ganha o jogo imediatamente
120,Como é penalizada uma carga faltosa violenta por trás sem hipótese de disputar a bola?,Cartão amarelo,Cartão vermelho direto,Apenas livre,Advertência verbal,Cartão vermelho direto
121,Que clube inglês é conhecido pela alcunha de 'The Gunners'?,Chelsea,Tottenham,Arsenal,Liverpool,Arsenal
122,Qual clube espanhol joga as suas partidas em casa no Estádio Santiago Bernabéu?,Atlético de Madrid,Barcelona,Real Madrid,Sevilha,Real Madrid
123,Como se chama o famoso clássico do futebol argentino entre as duas equipas de Buenos Aires?,El Clásico,Derby da Capital,Superclásico,Fla-Flu,Superclásico
124,"Que clube da Premier League joga no estádio Old Trafford, o 'Teatro dos Sonhos'?",Manchester City,Manchester United,Liverpool,Everton,Manchester United
125,Qual equipa alemã protagonizou uma época histórica em 2023/24 sagrando-se campeã invicta da Bundesliga?,Bayern Munique,Borussia Dortmund,Bayer Leverkusen,RB Leipzig,Bayer Leverkusen
126,Qual é o clube com mais títulos do campeonato italiano (Série A)?,AC Milan,Inter de Milão,Juventus,Roma,Juventus
127,Que equipa brasileira venceu a Taça Libertadores da América em 2023 pela primeira vez na sua história?,Flamengo,Palmeiras,Fluminense,São Paulo,Fluminense
128,Como é conhecido o clássico espanhol entre Real Madrid e Barcelona?,El Clásico,El Derbi,La Liga Match,The Big One,El Clásico
129,Que clube português detém o recorde de mais campeonatos nacionais conquistados (Primeira Liga)?,FC Porto,Sporting CP,Benfica,Boavista,Benfica
130,Que clube francês domina a Ligue 1 na última década com o investimento do Catar?,Olympique de Marselha,Mónaco,Paris Saint-Germain,Lille,Paris Saint-Germain
131,Qual clube inglês joga em Anfield e tem o lema 'You'll Never Walk Alone'?,Everton,Manchester United,Chelsea,Liverpool,Liverpool
132,Que clube italiano veste tradicionalmente listas verticais pretas e azuis (Nerazzurri)?,AC Milan,Juventus,Inter de Milão,Atalanta,Inter de Milão
133,Qual é a alcunha oficial da equipa italiana da Juventus?,I Rossoneri,La Vecchia Signora,I Nerazzurri,Os Lobos,La Vecchia Signora
134,Que clube escocês protagoniza com o Celtic o clássico conhecido como 'Old Firm'?,Aberdeen,Rangers,Hearts,Hibernian,Rangers
135,Qual clube brasileiro possui o maior número de títulos da Copa Libertadores (empatado com outros com 3 títulos)?,Flamengo / Palmeiras / São Paulo / Grêmio / Santos,Corinthians,Vasco da Gama,Cruzeiro,Flamengo / Palmeiras / São Paulo / Grêmio / Santos
136,Que clube argentino é o maior vencedor da história da Taça Libertadores com 7 títulos?,River Plate,Boca Juniors,Independiente,Racing,Independiente
137,Qual clube inglês surpreendeu o mundo ao vencer a Premier League na época 2015/16?,Tottenham,Leicester City,West Ham,Southampton,Leicester City
138,Que clube espanhol joga no estádio Metropolitano e é treinado há anos por Diego Simeone?,Real Madrid,Valência,Atlético de Madrid,Sevilha,Atlético de Madrid
139,Qual clube português venceu o campeonato nacional na época 2023/24?,Benfica,FC Porto,Sporting CP,Braga,Sporting CP
140,Como se chama o clássico do futebol brasileiro entre as duas maiores equipas do Rio de Janeiro?,Grenal,Derby Paulista,Fla-Flu,Clássico dos Milhões,Fla-Flu
141,Qual clube italiano regressou à ribalta ao vencer o 'Scudetto' em 2023 após 33 anos de jejum?,Nápoles,Lazio,Roma,AC Milan,Nápoles
142,"Que clube holandês revelou craques como Johan Cruyff, Luis Suárez e Frenkie de Jong?",PSV Eindhoven,Feyenoord,Ajax,Utrecht,Ajax
143,Qual clube mexicano é conhecido por jogar historicamente apenas com futebolistas mexicanos?,América,Chivas de Guadalajara,Cruz Azul,Tigres,Chivas de Guadalajara
144,Que equipa portuguesa é carinhosamente apelidada de 'Os Axadrezados' devido ao padrão da sua camisola?,Boavista,Belenenses,Vitória de Guimarães,Maritimo,Boavista
145,Qual clube da MLS contratou Lionel Messi em 2023?,LA Galaxy,New York City FC,Inter Miami,Orlando City,Inter Miami
146,Que clube inglês protagoniza o 'North London Derby' contra o Arsenal?,Chelsea,Tottenham Hotspur,West Ham,Fulham,Tottenham Hotspur
147,Qual clube alemão tem a famosa bancada 'Muralha Amarela' (Gelbe Wand)?,Bayern Munique,Borussia Dortmund,Schalke 04,Bayer Leverkusen,Borussia Dortmund
148,Que equipa da América do Sul joga as suas partidas no icónico estádio 'La Bombonera'?,River Plate,Boca Juniors,Flamengo,Peñarol,Boca Juniors
149,Qual clube português subiu da segunda liga e foi a grande sensação da Primeira Liga nos anos 2000 ao vencer o campeonato em 2001?,Boavista,Braga,Paços de Ferreira,União de Leiria,Boavista
150,Que clube de Turim rivaliza com a Juventus no clássico da cidade?,Sampdoria,Torino,Génova,Fiorentina,Torino
151,Qual clube conquistou o maior número de títulos na era moderna da Premier League inglesa?,Arsenal,Liverpool,Manchester United,Chelsea,Manchester United
152,Que equipa francesa joga no Estádio Vélodrome e tem adeptos fervorosos?,Paris Saint-Germain,Olympique de Marselha,Monaco,Nice,Olympique de Marselha
153,Qual clube brasileiro é conhecido como 'O Imortal'?,Grêmio,Internacional,Cruzeiro,Atlético Mineiro,Grêmio
154,Qual equipa turca protagoniza o clássico feroz de Istambul com o Fenerbahçe?,Galatasaray,Besiktas,Trabzonspor,Basaksehir,Galatasaray
155,Que clube espanhol conquistou surpreendentemente a Copa del Rey em 2022?,Real Betis,Valência,Real Sociedad,Athletic Bilbao,Real Betis
156,Quem é o jogador com mais prémios Bola de Ouro (Ballon d'Or) na história?,Cristiano Ronaldo,Lionel Messi,Michel Platini,Johan Cruyff,Lionel Messi
157,Quantas Bolas de Ouro conquistou Cristiano Ronaldo ao longo da carreira?,4,5,6,7,5
158,Qual treinador português ganhou a Champions por FC Porto e Inter de Milão e autointitulou-se 'The Special One'?,Jorge Jesus,Fernando Santos,José Mourinho,Rúben Amorim,José Mourinho
159,"Que seleção venceu o Campeonato da Europa de Futebol (Euro) em 2016, derrotando a França na final?",Alemanha,Portugal,Espanha,Itália,Portugal
160,Quem foi o selecionador que levou Portugal à conquista do Euro 2016?,Luiz Felipe Scolari,Fernando Santos,Roberto Martínez,Paulo Bento,Fernando Santos
161,Qual seleção conquistou o Euro 2020 (jogado em 2021) ao vencer a Inglaterra nas grandes penalidades?,Itália,França,Espanha,Bélgica,Itália
162,"Que treinador espanhol fez história ao ganhar múltiplos títulos pelo Barcelona, Bayern Munique e Manchester City?",Luis Enrique,Pep Guardiola,Xavi,Carlo Ancelotti,Pep Guardiola
163,Qual treinador detém o recorde de mais títulos da Champions League (5 troféus como técnico)?,Pep Guardiola,Zinedine Zidane,Carlo Ancelotti,Alex Ferguson,Carlo Ancelotti
164,"Que lendário treinador escocês comandou o Manchester United por quase 27 anos, reformando-se em 2013?",Arsène Wenger,Alex Ferguson,Matt Busby,Kenny Dalglish,Alex Ferguson
165,Quem ganhou o prémio FIFA 'The Best' de melhor jogador do mundo no ano de 2023?,Erling Haaland,Kylian Mbappé,Lionel Messi,Karim Benzema,Lionel Messi
166,Qual país venceu a Copa América em 2021 e 2024?,Brasil,Argentina,Uruguai,Colômbia,Argentina
167,Que país africano venceu o Campeonato Africano das Nações (CAN) em 2022 liderado por Sadio Mané?,Egito,Senegal,Camarões,Nigéria,Senegal
168,Quem marcou o golo histórico de Portugal no prolongamento na final do Euro 2016 contra a França?,Cristiano Ronaldo,Éder,Nani,Ricardo Quaresma,Éder
169,Qual prémio anual da FIFA é atribuído ao golo mais bonito do ano?,Prémio Yashin,Prémio Puskás,Bola de Ouro,Prémio Golden Boy,Prémio Puskás
170,Que ex-jogador francês presidiu à UEFA e ganhou três Bolas de Ouro nos anos 80?,Zinedine Zidane,Michel Platini,Thierry Henry,Eric Cantona,Michel Platini
171,Qual é o nome do troféu entregue ao campeão do Mundial de Clubes da FIFA?,Taça Intercontinental,Troféu do Campeonato do Mundo de Clubes da FIFA,Taça Jules Rimet,Copa Al-Thani,Troféu do Campeonato do Mundo de Clubes da FIFA
172,Quem foi a primeira mulher a vencer a Bola de Ouro Feminina (em 2018)?,Marta,Megan Rapinoe,Ada Hegerberg,Alexia Putellas,Ada Hegerberg
173,Que jogadora espanhola do Barcelona conquistou duas Bolas de Ouro consecutivas (2021 e 2022)?,Aitana Bonmatí,Alexia Putellas,Jenni Hermoso,Salma Paralluelo,Alexia Putellas
174,Qual seleção europeia conquistou o Mundial Feminino da FIFA pela primeira vez em 2023?,Inglaterra,Espanha,Suécia,Alemanha,Espanha
175,"Quem é o único treinador a vencer as cinco principais ligas europeias (Inglaterra, Espanha, Itália, Alemanha e França)?",Pep Guardiola,José Mourinho,Carlo Ancelotti,Jürgen Klopp,Carlo Ancelotti
176,Que país organizou o Campeonato da Europa de Futebol (Euro) em 2024?,França,Inglaterra,Alemanha,Itália,Alemanha
177,Quem foi o guarda-redes da seleção de Portugal famoso por defender penáltis sem luvas no Euro 2004?,Vítor Baía,Ricardo,Rui Patrício,Diogo Costa,Ricardo
178,Qual jovem prodígio espanhol do Barcelona bateu recordes de precocidade no Euro 2024 com apenas 16/17 anos?,Gavi,Pedri,Lamine Yamal,Ansu Fati,Lamine Yamal
179,Que treinador alemão mudou a história moderna do Liverpool FC e despediu-se do clube em 2024?,Thomas Tuchel,Jürgen Klopp,Julian Nagelsmann,Joachim Löw,Jürgen Klopp
180,"Quem é o presidente de longa data do Real Madrid CF, arquiteto da era dos 'Galácticos'?",Joan Laporta,Florentino Pérez,Enrique Cerezo,Ramón Calderón,Florentino Pérez
181,Qual país venceu o primeiro Campeonato da Europa de Nações em 1960?,União Soviética,Jugoslávia,França,Espanha,União Soviética
182,Que país venceu o Euro em 1992 sem se ter qualificado diretamente (entrou devido à exclusão da Jugoslávia)?,Suécia,Dinamarca,Países Baixos,Alemanha,Dinamarca
183,Qual seleção surpreendeu o continente ao vencer o Euro 2004 organizado em Portugal?,Grécia,República Checa,Holanda,França,Grécia
184,Quantas Copas América conquistou a seleção do Brasil na sua história?,9,12,15,5,9
185,"Quem é o guarda-redes argentino conhecido como 'Dibu', herói dos penáltis no Mundial de 2022?",Emiliano Martínez,Franco Armani,Sergio Romero,Gerónimo Rulli,Emiliano Martínez
186,Que prémio individual é entregue ao maior marcador das ligas europeias a cada época?,Golden Boy,Bota de Ouro,Luva de Ouro,The Best,Bota de Ouro
